,ID,label,tanggal,judul,narasi,nama file gambar,databersih
10,557028.0,1,04/10/2015,: Bayi Nabila Meninggal Karena Kabut Asap di Jambi,"Cukup anak hamba ya Allah yg jadi korban akibat asap yang tidak kunjung berhenti, jgan lagi ada korban lain, sesak nafas, batuk, pilek akibat kabut asap dari orang-orang yang tidak bertanggung jawab,",557028.jpg,anak hamba allah korban akibat asap kunjung henti jgan korban sesak nafas batuk pilek akibat kabut asap tanggung
11,172003.0,0,05/10/2015,": Harun Yahya, Salah Satu Pionir Hoax Umat Islam","Harun Yahya, Salah Satu Pionir Hoax Umat Islam",172003.jpg,harun yahya salah pionir hoax umat islam
12,163810.0,1,07/10/2015,: Pemerintah Tidak Melakukan Apa-apa Untuk Mengatasi Bencana Asap Ini,Pemerintah Tidak Melakukan Apa-apa Untuk Mengatasi Bencana Asap Ini,163810.jpg,perintah laku bencana asap
13,270300.0,1,12/10/2015,"Aplikasi i-Doser, Narkoba Digital","mau share sedikit dr hasil seminar kemarin di HF Dursaw, tentang darurat narkoba.
 Sekarang ada tipe baru digital narcotic yg sgt mudah di akses dr smart phone. Namanya aplikasinya: I-doser.
 Kita sebagai ortu perlu tahu mengenai hal ini,
 Kita doakan spy anak2 kita terhindar dr pengaruh2 buruk.?",270300.png,share hasil seminar dursaw darurat narkoba tipe digital narcotic sgt mudah akses smart phone nama i-doser ortu kena doa spy anak 2  hindar pengaruh 2  buruk
14,401372.0,1,12/10/2015,Jackie Chan Masuk Islam,"Alhamdulillah, Jackie Chan kini sudah menjadi muslim dan bertukar nama kepada Abdullah Chan. Allahuakbar",401372.jpg,jackie chan muslim tukar nama abdullah chan allahuakbar
15,294873.0,0,21/10/2015,Syiah di Indonesia," wa inna ilaihi rojiun
 
 Kabar duka dari Negeri Tercinta
 
 Hari ini, ABI Ormas Syiah mengadakan Muktamar II dikantor Kementerian Agama RI..?",294873.png,inna ilaihi rojiun kabar duka negeri cinta abi ormas syiah muktamar kantor menteri agama
16,663507.0,1,22/10/2015,Lab RS Angkatan Laut membuat Daftar Minuman Berbahaya,Sebuah postingan gambar surat dari Lembaga Penanggulangan Sel Karsinogen Indonesia. Dalam surat tersebut terdapat 43 nama minuman yang disinyalir berbahaya.,663507.jpg,buah postingan gambar surat lembaga tanggulang sel karsinogen indonesia surat nama minum sinyalir bahaya
17,32721.0,0,22/10/2015,Indonesia Gagal Wujudkan Swasembada Pangan,Pemerintah rencana impor beras 1 juta ton = Indonesia gagal swasembada,32721.png,perintah rencana impor beras juta ton indonesia gagal swasembada
18,417740.0,1,23/10/2015,"Pemerintah Tidak Serius Menangani Kebakaran Hutan, Usahanya Sejauh Ini Cuma Pencitraan","Pemerintah tidak serius menangani kebakaran hutan, usahanya sejauh ini cuma pencitraan",417740.jpg,perintah serius tangan bakar hutan usaha citra
19,245708.0,1,23/10/2015,BKMG menyarankan menaruh baskom air yang dicampur garam supaya hujan cepat turun,Ajakan menaruh air dicampur dengan garam di dalam ember untuk membantu proses turunnya hujan.,245708.jpg,aja taruh air campur garam ember bantu proses turun hujan
20,614347.0,0,23/10/2015,Kebakaran Hutan di Kalimantan Tengah,"Kebakaran Hutan di Kalimantan Tengah
 [] Ini Hoak atau Fakta? []",614347.png,bakar hutan kalimantan hoak fakta
21,827337.0,1,24/10/2015,Pria Bojonegoro meninggal karena mendengar musik dari HP nya sambil tidur & korslet.,"Seorang pria di Bojonegoro meninggal akibat menggunakan Hp.
 
 Dia mendengar musik pakai Handset, saat Hpnya di Charge dan ketiduran.",827337.png,pria bojonegoro tinggal akibat dengar musik handset hpnya charge tidur
22,73664.0,1,25/10/2015,Foto Logo I Love Israel pada Permen Mentos,Foto mentos edisi I Love Israel berada di sebuah supermarket daerah Jakarta Pusat,73664.png,foto tos edisi love israel buah supermarket daerah jakarta pusat
23,98242.0,1,25/10/2015,Kronologis Insiden RSO 1 Palangkaraya,Kronologis Insiden RSO 1 Palangkaraya,98242.png,kronologis insiden rso palangkaraya
24,49087.0,1,30/10/2015,Rokok Marlboro Berisi Ganja,Produsen rokok Phillip Morris mulai menjual jenis rokok yang menggandung ganja atau marijuana. Produk ini dipasarkan dengan jenis MARLBORO M dan tersedia di outlet khusus yang berlisensi di negara bagian Colorado dan Wshington DC.,49087.jpg,produsen rokok phillip morris jual rokok gandung ganja marijuana produk pasar marlboro sedia outlet khusus lisensi negara colorado wshington
25,122813.0,1,31/10/2015,Kenaikan Tarif Tol adalah karena Jokowi,"Dear haters, sebelum jadi bahan ketawaan, baca ini dulu ya
 
 Kenaikan tarif tol per 1 Nov 2015, didasarkan pada mandat Undang-Undang Nomor
 38 Tahun 2004 Tentang Jalan, Pasal 48 Ayat III. Pasal itu menyebutkan kenaikan tarif tol mengalami penyesuaian setiap dua tahun sekali.",122813.jpg,haters bahan ketawa baca tarif tol nov  2015  dasar mandat undang nomor  2004  pasal ayat pasal tarif tol alami sesuai
26,270266.0,1,01/11/2015,Syiah menyerang Saudi pada musim haji 1979,"Dapet berita dari koran lama edisi pnri, tentang penyerbuan kaum syiah pada musim haji 20 november 1979 di masjidil haram, mereka tepat menyandera imam tepat setelah solat subuh dengan menggunakan senjata AK47 yang dilipat,",270266.jpg,dapet berita koran edisi pnri serbu kaum syiah musim haji november  1979  masjidil haram sandera imam solat subuh senjata ak 47 
27,90037.0,1,17/11/2015,Enzim RNASE dapat Membunuh Bakteri dalam Makanan,Ada yg bisa menjelaskan ttg enzim RN ase yg terdapat di tangan? Dihasilkan oleh apa? Dan apakah efektif membunub bakteri yg terdapat dalam makanan?,90037.jpg,ttg enzim ase tangan hasil efektif membunub bakteri makan
28,769971.0,1,20/11/2015,Foto Warga Suriah Korban Bombardir Perancis,Perancis Memborbardir Suriah,769971.jpg,perancis memborbardir suriah
29,958386.0,1,20/11/2015,Marinir AS Mendukung Papua Lepas dari NKRI,"Belum apa apa sudah ada foto Marinir AS mendukung Papua lepas dari NKRI.
 dan sayangnya masih banyak warga kita yang BERLAGAK SOK jadi Singa. Tapi dia gak sadar Si Singa rupanya dengan mudah dikalahkan Kancil yang punya Strategi jitu.",958386.jpg,foto marinir dukung papua lepas nkri warga lagak sok singa tapi gak sadar singa rupa mudah kalah kancil strategi jitu
30,196529.0,0,20/11/2015,BBC News Menggunakan Foto Irak untuk Menggambarkan Pembantaian Suriah,BBC News uses Iraq photo to illustrate Syrian massacre,196529.jpg,bbc news uses iraq photo illustrate syrian massacre
31,712608.0,1,24/11/2015,Tokoh ISIS Syaikh Al Arifi Datang ke Masjid Istiqlal,"rencana tablig akbar 17 januari 2016 di masjid istiqlal, dengan mengundang tokoh ISIS, harus ditolak . NKRI jangan dijadikan sarang pengungsi ISIS, yang lari dari suriah dan irak.",712608.jpg,rencana tablig akbar januari  2016  masjid istiqlal undang tokoh isis tolak nkri sarang ungsi isis lari suriah irak
32,303009.0,1,25/11/2015,Abu Janda Sebenarnya adalah Cina Kafir,Abu Janda Sebenarnya adalah Cina Kafir,303009.jpg,abu janda cina kafir
33,130974.0,0,28/11/2015,Jokowi Lebih Memilih Helikopter Buatan Luar Negeri Dibandingkan Buatan PT Dirgantara Indonesia,"INSTING MAKELAR
 
 AKU Awalnya kaget, membaca berita dari berbagai Media nasional soal Pembelian Hellikopter Presiden jokowi.
 Dalam berita banyak disebutkan PT.DI Produksi Hellikopter sendiri jenis EC-725 dan lebih canggih, kenapa Pemerintah membeli Helikppter VVIP AW101 produksi Italia dan Inggris itu ?",130974.png,insting makelar kaget baca berita media nasional beli hellikopter presiden jokowi berita produksi hellikopter ec- 725  canggih perintah beli helikppter vvip aw 101  produksi italia inggris
34,188319.0,0,28/11/2015,Jokowi Lebih Memilih Helikopter Buatan Luar Negeri Dibandingkan Buatan PT Dirgantara Indonesia,"INSTING MAKELAR
 
 AKU Awalnya kaget, membaca berita dari berbagai Media nasional soal Pembelian Hellikopter Presiden jokowi.
 Dalam berita banyak disebutkan PT.DI Produksi Hellikopter sendiri jenis EC-725 dan lebih canggih, kenapa Pemerintah membeli Helikppter VVIP AW101 produksi Italia dan Inggris itu ?",188319.png,insting makelar kaget baca berita media nasional beli hellikopter presiden jokowi berita produksi hellikopter ec- 725  canggih perintah beli helikppter vvip aw 101  produksi italia inggris
35,868252.0,1,30/11/2015,"Husain Khudri, Pemuda Sunni Yang Tersenyum Ketika Akan Digantung Syiah Iran","APA yang ada dalam pikiran Anda ketika melihat foto di atasseorang pemuda yang berada di tiang gantungan, ia melambaikan tangan dan tersenyum?
 
 Foto ini menceritakan kondisi seorang pemuda Sunni bernama Husain Khudri yang akan menghadapi eksekusi mati di Iran. Ia digantung oleh para Syiah di negeri itu.",868252.png,lihat foto atasseorang pemuda tiang gantung lambai tangan senyum foto cerita kondisi pemuda sunni nama husain khudri hadap eksekusi mati iran gantung syiah negeri
36,524179.0,1,02/12/2015,Prof. Arysio Santos Nyatakan Lokasi Atlantis Terletak di Indonesia,Buku Atlantis : The Lost Continent Finally Found karangan Prof. Arysio Santos menyatakan bahwa Atlantis itu dulunya ada di Indonesia.,524179.jpg,buku atlantis lost continent finally found karang prof arysio santos nyata atlantis dulunya indonesia
37,507794.0,1,04/12/2015,Freeport Tidak Membuang Limbah Beracun,Freeport Tidak Membuang Limbah Beracun,507794.jpg,freeport buang limbah racun
38,73616.0,0,04/12/2015,Dokumentasi Dinding Berlapis Emas Freeport,"Lihatlah didalam perut bumi di tanah Papua, dinding berbatu berlapis emas itu bukan cat tembok, bukan pula di studio film tapi inilah kegiatan setiap hari karyawan Freeport selama puluhan tahun.",73616.jpg,lihat perut bumi tanah papua dinding batu lap emas cat tembok studio film tapi giat karyawan freeport puluh
39,139150.0,0,05/12/2015,Anak Palestina Ditembak Oleh Tentara Israel Dari Jarak Dekat!,"SUBHANALLAH
 Anak Palestina ini berlutut memandangi tentara israel yg menembaknya dari jarak dekat,
 Peluru menembusi jantung nya. Tapi coba Lihat wajah syuhada ini .. Tak ada menggambarkan kesakitan",139150.png,subhanallah anak palestina lutut pandang tentara israel tembak jarak peluru tembus jantung tapi lihat wajah syuhada gambar sakit
40,221068.0,0,05/12/2015,Isu Perbedaan Surat Al Hujurat 8 pada Al Quran Sumbangan Kerajaan Arab,"Tolong perhatikan Al Quran sumbangan Arab Saudi yang dibagikan gratis,, ayat2nya banyak diubah,,, bandingkan dengan Al Quran yang dulu,,,",221068.jpg,perhati quran sumbang arab saudi ayat 2 nya banding quran
41,491399.0,1,10/12/2015,Serangga Menyebabkan Tangan dan Bagian Tubuh Lainnya Bolong,"Perhatian untuk seluruh kawan-kawan, bila melihat serangga seperti di dalam foto, jangan sekali-kali menyentuhnya, di Thailand telah ditemukan serangga ini dalam jumlah besar, di Myanmar juga ditemukan, dan sudah mau masuk ke Indonesia, bagi yang menyentuh serangga ini, tangannya jadi seperti di foto dan sakit luar biasa.",491399.jpg,perhati lihat serangga foto sentuh thailand temu serangga myanmar temu masuk indonesia sentuh serangga tangan foto sakit
42,343935.0,1,11/12/2015,Jokowi memperpanjang kontrak Freeport,Sungguh licik sekali pemerintahan Jokowi dengan menciptakan konflik KPK dan Polri diam-diam memperpanjang kontrak PT Freeport Indonesia agar masyarakat tidak terlalu memperhatikan proses perpanjangan kontrak tersebut.,343935.jpg,licik perintah jokowi cipta konflik kpk polri diam kontrak freeport indonesia masyarakat perhati proses kontrak
43,32644.0,1,11/12/2015,Mesin Mobil Sering Mati Di Atas Rel Kereta Api,"[] MENGAPA MESIN MOBIL SERING MATI DI ATAS PERLINTASAN REL KERETA API
 
 Org awam terkadang mengira hal ini di sbbkan krn perlintasan tsb angker/kurang sajen dan kemenyan/ada demit dll",32644.jpg,mesin mobil mati lintas rel kereta api org awam ira sbbkan krn lintas tsb angker sajen kemenyan demit dll
44,360323.0,1,16/12/2015,Ketaatan dan Loyalitas TNI Hanya kepada PRESIDEN,"Kataatan dan Loyalitas TNI Hanya kepada presiden, BOCAH GEMBLUNG, TNI itu HARUS TAAT dan SETIA pada NEGARA KESATUAAN REPUBLIK INDONESIA.",360323.jpg,kataatan loyalitas tni presiden bocah gemblung tni taat setia negara kesatuaan republik indonesia
45,565120.0,1,27/12/2015,Standar Ganda Kristen,"KRISTEN SELALU MENGKRITISI YANG BERBAU ARAB, TAPI DENGAN DALIH YANG SAMA KRISTEN TIDAK TAU MALU DENGAN STRATEGI LICIK NYA MEMPRODUKSI KAOS-KAOS KRISTENISASI BERTULISKAN ARAB",565120.jpg,kristen kritisi bau arab tapi dalih kristen tau malu strategi licik produksi kaos kristen arab
46,466816.0,1,31/12/2015,Menggunakan Topi Kerucut di Tahun Baru Berarti Murtad,"TAHUKAH ANDA, Topi Kerucut Tahun Baru, Tanda Muslim Telah Murtad. Topi Tahun Baru yg berbentuk kerucut ternyata adalah topi dengan bentuk yang di sebut SANBENITO, yakni topi yg digunakan Muslim Andalusia untuk menandai bahwa mereka sudah murtad dibawah penindasan Gereja Katholik Roma yang menerapkan INKUISISI SPANYOL.",466816.jpg,topi kerucut tanda muslim murtad topi bentuk kerucut nyata topi bentuk sanbenito topi muslim andalusia tanda murtad tindas gereja katholik roma terap inkuisisi spanyol
47,769919.0,1,04/01/2016,Sajadah Digunakan untuk Alas Menari,"Sajadah Digunakan untuk Alas Menari, Tolong siapa yg tahu..hoax or beneran.",769919.jpg,sajadah alas tari hoax beneran
48,868222.0,1,08/01/2016,Latihan Bela Negara TNI Kepada FPI,"*Press Release berkaitan berita TNI memberikan latihan ala militer kepada FPI di wilayah Lebak*
 
 Sebagaimana diketahui bahwa di media sosial telah berkembang tentang adanya berita tentang TNI memberikan latihan ala mikiter di wilayah Lebak Banten.",868222.png,press release kait berita tni latih ala militer fpi wilayah lebak media sosial kembang berita tni latih ala mikiter wilayah lebak banten
49,958333.0,1,08/01/2016,Pemberitaan Gerakan Buruh Jakarta Dukung Ahok-Djarot Di Portal Bloombergindonesia.my,"Pada portal daring tersebut diberitakan Gerakan Buruh Jakarta (GBJ) mendeklarasikan diri mendukung pasangan Cagub-Cawagub, Basuki Tjahaja Purnama dan Djarot Saiful Hidayat.",958333.jpg,portal daring berita gera buruh jakarta gbj deklarasi dukung pasang cagub-cawagub basuki tjahaja purnama djarot saiful hidayat
50,89973.0,1,11/01/2016,ILC TV One Di Bredel oleh Aparat,ADA APA SEBENARNYA DENGAN NEGERI INI? SUNGGUH IRONIS,89973.jpg,negeri ironis
51,999287.0,1,17/01/2016,: KPK Dilarang Membawa Brimob Bersenjata Masuk Gedung DPR,KPK Dilarang Membawa Brimob Bersenjata Masuk Gedung DPR,999287.jpg,kpk larang bawa brimob senjata masuk gedung dpr
52,606066.0,1,19/01/2016,: Kemoterapi Pada Penderita Kangker Memperpendek Umur 4 Kali Lipat,Kemoterapi Pada Penderita Kangker Memperpendek Umur 4 Kali Lipat,606066.jpg,kemoterapi derita kangker pendek umur
53,106353.0,1,21/01/2016,"Tawan, Tukang Las Berlengan Robot",saya yakin ini hoax.. ngga masuk akal aja hehe,106353.jpg,hoax ngga masuk akal aja hehe
54,253810.0,1,21/01/2016,Rayhaneh Jabbari Dihukum Gantung oleh Pemerintah Iran,Raihanah Jabbari muslimah sunni dihukum mati oleh pengadilan syiah Iran karena membunuh laki2 yang hendak merusak kehormatannya  di pengadilan Hakim bertanya padanya :  Mengapa engkau membunuh laki2 itu ?  ,253810.jpg,raihanah jabbari muslimah sunni hukum mati adil syiah iran bunuh laki 2  rusak hormat adil hakim engkau bunuh laki 2 
55,597876.0,1,21/01/2016,Komedian Kelik Pelipur Lara Meninggal Dunia,Komedian Kelik Pelipur Lara Dikabarkan Meninggal Dunia,597876.jpg,komedian kelik lipur lara kabar tinggal dunia
56,409457.0,0,22/01/2016,Surat Undangan Pemancangan Tiang Pertama Proyek Kereta Cepat Jakarta - Bandung Berbahasa Mandarin,"Lapor Ndan.!!! Koq, Undangan Proyek Ground-Breaking KA Cepat menggunakan Bahasa Cina???
 
 Apa Jakarta adalah (BUKAN) salah satu propinsi Cina..?!!! *Gagal Waras",409457.jpg,lapor ndan koq undang proyek ground-breaking cepat bahasa cina jakarta salah propinsi cina gagal
57,827247.0,0,23/01/2016,Lawan Pelaku Teror Thamrin AKBP Untung Gunakan Pistol Buatan Tahun 1911,Lawan Pelaku Teror Thamrin AKBP Untung Gunakan Pistol Buatan Tahun 1911,827247.png,lawan laku teror thamrin akbp untung pistol  1911 
58,106350.0,1,26/01/2016,"Gedung Putih Dibanjiri Massa Pro Ahok, dan menuntut FPI dibubarkan","BERITA GEMPAR HARI INI!!! PENOLAKAN FPI SAMPAI KE AMERIKA
 
 Gedung Putih Dibanjiri dengan Massa Pro Ahok, dan menuntut FPI dibubarkan segera.",106350.jpg,berita gempar tolak fpi amerika gedung putih banjir massa pro ahok tuntut fpi bubar
59,98157.0,0,29/01/2016,Pentingnya Literasi Media,Pentingnya Literasi Media,98157.jpg,literasi media
60,302959.0,0,29/01/2016,Kereta Cepat yang Digarap China di Iran Lebih Murah dari Kereta Cepat Jakarta-Bandung,Biaya Proyek Kereta Api Cepat China Teheran-Isfahan Lebih Murah dari Jakarta-Bandung.,302959.jpg,biaya proyek kereta api cepat china teheran-isfahan murah jakarta-bandung
61,98156.0,1,04/02/2016,KOD Babi pada makanan?,"jumat pagi anak-anak jajan ice cream. cek label halal MUI ada, tapi begitu cek ingredestnya astagfirullah menghandung lemak babi. berhati-hatilah kaum muslimin semuanya",98156.jpg,jumat pagi anak jajan ice cream cek label halal mui tapi cek ingredestnya astagfirullah menghandung lemak kaum muslimin
62,458601.0,1,04/02/2016,Mie Instan tidak bernutrisi Dan bahayanya MSG?,"Mengambil Kendali, Kesehatan di tangan anda.",458601.jpg,kendali sehat tangan
63,753512.0,1,08/02/2016,FOTO JALANAN DI PAPUA,Ini merupakan penampakan salah satu jalan yang ada di Papua.,753512.jpg,rupa salah papua
64,81766.0,1,09/02/2016,"Pembangunan Jembatan Kolelet di Lebak, Banten","Apakah ini hoax, mohon informasinya?",81766.jpg,hoax informasi
65,335718.0,1,09/02/2016,Jepang ancam menarik investasi untuk tahun 2016?,Dalam beberapa pekan ini semua stasiun TV Jepang membahas kekecewaannya terhadap pemerintahan Jokowi & JK.,335718.jpg,pekan stasiun jepang bahas kecewa hadap perintah jokowi
66,466786.0,1,12/02/2016,Aparat Kepolisian Sektor Mimika Baru Menganiaya Warga,"Kami mungkin binatang di matamu. Entah bagaimana kami, selama nyawa masih berhembus, kami akan terus melawan. Demi satu hal pasti: kelak kami dihargai sebagai manusia yang setara di bumi ini.",466786.jpg,binatang mata nyawa hembus lawan kelak harga manusia tara bumi
67,171873.0,1,13/02/2016,Pegawai Honorer K2 Meninggal Dunia Saat Demo di Istana,..Dua Honorer K2 Meninggal di Depan Istana,171873.jpg,honorer tinggal istana
68,515936.0,1,16/02/2016,Bir Berbahasa Arab di Jakarta,"Sebelum situs-situs penyebar konten sampah ngepost yang beginian, nih ada bahan buat kalian
 
 Ahok mana Ahok?? Jakarta jual Beer dengan tulisan Arab??",515936.png,situs sebar konten sampah ngepost bahan ahok ahok jakarta jual beer arab
69,73563.0,0,17/02/2016,"Jokowi Bantu Laos Bangun Infrastruktur, Ketika Jembatan-Jembatan di Indonesia Masih Meprihatinkan","Mohon pencerahan yg berita Sindo.
 
 Trus yg gambar Jembatan, lokasi dmn???apa sampai saat ini masih seperti itu??? tanpa penanganan dr pemerintah setempat.",73563.png,cerah berita sindo trus gambar jembatan lokasi dmn tangan perintah
70,335381.0,1,18/02/2016,"David Beckham Pakai Kaos Bertuliskan Free West Papua Saat Berkunjung ke Wamena, Papua",Pemain sepak bola asal Inggris David Beckham ternyata berkunjung ke pedalaman Wamena-Papua secara diam-diam.Pemain ternama Dunia ini ternyata memberikana bantuan kemanusiaan setelah mendegar tragedi kematian anak di Nduga pada tahun silam 2015 lalu. Pada kedatangan sang bintang sepak bola itu akhirnya dikagetkana dengan kaos baju yang dikenakan David Beckham yang bertulisanFree West Papua,335381.png,main sepak bola inggris david beckham nyata kunjung wamena-papua diam main nama dunia nyata memberikana bantu manusia degar tragedi mati anak nduga silam  2015  sang sepak bola dikagetkana kaos baju kena david beckham bertulisanfree west papua
71,245591.0,1,22/02/2016,Tulisan Sarlito Wirawan Sarwono Tentang LGBT,"LGBT: SEBUAH GERAKAN PENULARAN
 
 SARLITO WIRAWAN SARWONO
 Guru Besar Fakultas Psikologi UI
 
 Mungkin ada yang heran bertanya, kenapa saya begitu keras terhadap perilaku lesbianism, gay, bisexual and transsexualism (LGBT). Saya seakan penuh murka dan tak memberikan sedikitpun ruang toleransi bagi pengidapnya.",245591.png,lgbt buah gera tular sarlito wirawan sarwono guru fakultas psikologi keras hadap perilaku lesbianism gay bisexual and transsexualism lgbt murka ruang toleransi idap
72,327513.0,1,22/02/2016,Cerita Inspiratif Thomas Alva Edison,"Seorang Ibu yang Luar Biasa
 
 Suatu hari, Thomas Alva Edison pulang sekolah dan menyerahkan selembar kertas pemberian gurunya untuk ibunya. Sang ibu menangis sambil membaca isi surat itu dengan mengeraskan suaranya: Putra anda seorang jenius. Sekolah ini terlalu kecil untuk menampungnya dan tidak memiliki guru yang cakap untuk mendidiknya. Agar anda mendidiknya sendiri.",327513.jpg,thomas alva edison pulang sekolah serah lembar kertas guru sang menang baca isi surat keras suara putra jenius sekolah tampung milik guru cakap didik didik
73,384855.0,1,23/02/2016,Peresmian Monumen Po An Tui Di TMII,"Rudy Razy, Jonru, Posmetro mengklaim bahwa Mendagri membuat prasasti/monumen Po An Tui (laskar China yang antek Belanda) di TMII.",384855.png,rudy razy jonru posmetro klaim mendagri prasasti monumen tui laskar china antek belanda tmii
74,884566.0,1,26/02/2016,Guntur Soekarno Putra Meninggal, wa inna illaihi rojiun Telah berpulang kehadiratNya GUNTUR SOEKARNO PUTRA (Putra sulung Proklamator Ir. SOEKARNO). Semoga khusnul khotimah dan arwahnya diterima di sisi Alloh . .,884566.jpg,inna illaihi rojiun pulang hadirat guntur soekarno putra putra sulung proklamator soekarno moga khusnul khotimah arwah sisi alloh
75,48981.0,1,03/03/2016,Biskuit Crispy Crackers diklaim mengandung lilin karena mudah terbakar,(berupa vidio yang menjelaskan jika biskuit crispy crackers mengandung lilin karena sangat mudah terbakar),48981.jpg,upa vidio biskuit crispy crackers kandung lilin mudah bakar
76,999251.0,1,03/03/2016,Jembatan Soekarno-Hatta di Kota Malang Melengkung,Jembatan Soekarno-Hatta di Kota Malang Melengkung,999251.jpg,jembatan soekarno-hatta kota malang lengkung
77,155472.0,1,08/03/2016,": Ratna Sarumpaet : Kalau Ahok Maju Via Jalur Independen, Saya Rela Menari Bugil di Monas","Ratna Sarumpaet : Kalau Ahok Maju Via Jalur Independen, Saya Rela Menari Bugil di Monas",155472.jpg,ratna sarumpaet ahok maju via jalur independen rela tari bugil monas
78,663377.0,0,12/03/2016,: WASPADA!! Es Teh Campur Limbah di Monas,WASPADA!! Es Teh Campur Limbah di Monas,663377.jpg,waspada teh campur limbah monas
79,327504.0,1,15/03/2016,: BI Telah Edarkan Uang Pecahan Rp 200.000,BI Telah Edarkan Uang Pecahan Rp 200.000,327504.jpg,edar uang pecah  200 
80,327501.0,1,16/03/2016,Penemu 4G LTE dari Indonesia,"Khoirul Anwar, Penemu 4G LTE
 
 Siapa sangka, teknologi telekomunikasi terbaru saat ini 4G LTE, ditemukan oleh anak muda asli Indonesia, Khoirul Anwar.",327501.png,khoirul anwar temu lte sangka teknologi telekomunikasi lte temu anak muda indonesia khoirul anwar
81,515918.0,0,17/03/2016,Pengungsi Syria Dilempari Koin oleh Suporter Klub Sepakbola PSV Eindhoven di Spanyol,Saya belum tahu sumbernya darimana. video ini katanya memperlihatkan pengungsi Syria dilempari recehan dan disoraki penduduk lokal Spanyol (memalukan,515918.png,sumber darimana video lihat ungsi syria lempari receh sorak duduk lokal spanyol malu
